Ulasan Asli,1_Lower_Elongated,2_Emoji_to_Word,3_Slang_Normalization,4_Stemming,5_Handle_Negation,6_Final_Cleaned (Stopwords)
tidak biasa daftar,tidak biasa daftar,tidak biasa daftar,tidak biasa daftar,tidak biasa daftar,tidak_biasa daftar,tidak_biasa
cctv nggak bisa diakses,cctv nggak bisa diakses,cctv nggak bisa diakses,cctv tidak bisa diakses,cctv tidak bisa akses,cctv tidak_bisa akses,tidak_bisa
Tiba-tiba kelogout sendiri dan pas coba login ulang di dua hp dan dua PC gakbisa katanya tidak terdaftar. Jadi gabisa presensi dan isi ekinerja.,tiba-tiba kelogout sendiri dan pas coba login ulang di dua hp dan dua pc gakbisa katanya tidak terdaftar. jadi gabisa presensi dan isi ekinerja.,tiba-tiba kelogout sendiri dan pas coba login ulang di dua hp dan dua pc gakbisa katanya tidak terdaftar. jadi gabisa presensi dan isi ekinerja.,tiba-tiba kelogout sendiri dan pas coba login ulang di dua ponsel dan dua pc tidak bisa katanya tidak terdaftar. jadi tidak bisa presensi dan isi ekinerja.,tiba kelogout sendiri dan pas coba login ulang di dua ponsel dan dua pc tidak bisa kata tidak daftar jadi tidak bisa presensi dan isi ekinerja,tiba kelogout sendiri dan pas coba login ulang di dua ponsel dan dua pc tidak_bisa kata tidak_daftar jadi tidak_bisa presensi dan isi ekinerja,tiba kelogout sendiri coba ulang dua ponsel dua pc tidak_bisa kata tidak_daftar jadi tidak_bisa presensi ekinerja
Nik benar... Pswd benar tp kog nggak bisa masuk.... Pdhl dl bisa...,nik benar.. pswd benar tp kog nggak bisa masuk.. pdhl dl bisa..,nik benar.. pswd benar tp kog nggak bisa masuk.. pdhl dl bisa..,nik benar.. pswd benar tapi kog tidak bisa masuk.. padahal dl bisa..,nik benar pswd benar tapi kog tidak bisa masuk padahal dl bisa,nik benar pswd benar tapi kog tidak_bisa masuk padahal dl bisa,benar pswd benar kog tidak_bisa padahal dl bisa
sangat kurang,sangat kurang,sangat kurang,sangat kurang,sangat kurang,sangat kurang,sangat kurang
"Banyak bug, mohon ditingkatkan kualitas aplikasinya.","banyak bug, mohon ditingkatkan kualitas aplikasinya.","banyak bug, mohon ditingkatkan kualitas aplikasinya.","banyak bug, mohon tingkat kualitas aplikasinya.",banyak bug mohon tingkat kualitas aplikasi,banyak bug mohon tingkat kualitas aplikasi,banyak bug tingkat kualitas
Pas Malam Tahun Baru Tiba-Tiba CCTV ERROR Semua.. Hadeeeehhh,pas malam tahun baru tiba-tiba cctv error semua.. hadeehh,pas malam tahun baru tiba-tiba cctv error semua.. hadeehh,pas malam tahun baru tiba-tiba cctv error semua.. hadeehh,pas malam tahun baru tiba cctv error semua hadeehh,pas malam tahun baru tiba cctv error semua hadeehh,malam tahun baru tiba error semua hadeehh
"Aplikasinya jelek, untuk presensi jembolnya hilang2an, mohon diperbaiki lagi","aplikasinya jelek, untuk presensi jembolnya hilang2an, mohon diperbaiki lagi","aplikasinya jelek, untuk presensi jembolnya hilang2an, mohon diperbaiki lagi","aplikasinya jelek, untuk presensi jembolnya hilang2an, mohon perbaiki lagi",aplikasi jelek untuk presensi jembolnya hilang2an mohon baik lagi,aplikasi jelek untuk presensi jembolnya hilang an mohon baik lagi,jelek presensi jembolnya hilang an baik lagi
ayooo perbaikiii.. setiap pukul 15.00 gak bisa absen pulang,ayoo perbaikii.. setiap pukul 15.00 gak bisa absen pulang,ayoo perbaikii.. setiap pukul 15.00 gak bisa absen pulang,ayoo perbaikii.. setiap pukul 15.00 tidak bisa absen pulang,ayoo perbaikii tiap pukul 15 00 tidak bisa absen pulang,ayoo perbaikii tiap pukul tidak_bisa absen pulang,ayoo perbaikii tiap pukul tidak_bisa absen pulang
"Ngga bisa login, cari bantuan adanya bot, padahal masih jam kerja, tidak efektif dan efisien waktu","ngga bisa login, cari bantuan adanya bot, padahal masih jam kerja, tidak efektif dan efisien waktu","ngga bisa login, cari bantuan adanya bot, padahal masih jam kerja, tidak efektif dan efisien waktu","ngga bisa login, cari bantuan adanya bot, padahal masih jam kerja, tidak efektif dan efisien waktu",ngga bisa login cari bantu ada bot padahal masih jam kerja tidak efektif dan efisien waktu,ngga bisa login cari bantu ada bot padahal masih jam kerja tidak_efektif dan efisien waktu,ngga bisa cari bantu bot padahal jam kerja tidak_efektif efisien
"Min iki saiki meh nyambung wifi wae kok angel banget to, mbok dibalekke wae kyok wingi 😭😭😭","min iki saiki meh nyambung wifi wae kok angel banget to, mbok dibalekke wae kyok wingi 😭😭","min iki saiki meh nyambung wifi wae kok angel banget to, mbok dibalekke wae kyok wingi  kecewa menangis  kecewa menangis ","min ini saiki meh nyambung wifi wae kok sulit banget to, mbok dibalekke wae kyok wingi kecewa menangis kecewa menangis",min ini saiki meh nyambung wifi wae kok sulit banget to mbok dibalekke wae kyok wing kecewa menang kecewa menang,min ini saiki meh nyambung wifi wae kok sulit banget to mbok dibalekke wae kyok wing kecewa menang kecewa menang,saiki meh nyambung wifi sulit to mbok dibalekke kyok wing kecewa menang kecewa menang
"Kecewa sama oknum yang sering menghapus toko dan produk jualan saya di dodolan. Saya curiga ada orang dalam yang bersekongkol, persaingan tidak sehat.. Mohon di tindak oknum pegawai ato oknum vendor yang sering mengapus produk jualan masyarakat.. Semena mena bener","kecewa sama oknum yang sering menghapus toko dan produk jualan saya di dodolan. saya curiga ada orang dalam yang bersekongkol, persaingan tidak sehat.. mohon di tindak oknum pegawai ato oknum vendor yang sering mengapus produk jualan masyarakat.. semena mena bener","kecewa sama oknum yang sering menghapus toko dan produk jualan saya di dodolan. saya curiga ada orang dalam yang bersekongkol, persaingan tidak sehat.. mohon di tindak oknum pegawai ato oknum vendor yang sering mengapus produk jualan masyarakat.. semena mena bener","kecewa sama oknum yang sering menghapus toko dan produk jualan saya di dodolan. saya curiga ada orang dalam yang bersekongkol, persaingan tidak sehat.. mohon di tindak oknum pegawai ato oknum vendor yang sering mengapus produk jualan masyarakat.. semena mena bener",kecewa sama oknum yang sering hapus toko dan produk jual saya di dodol saya curiga ada orang dalam yang sekongkol saing tidak sehat mohon di tindak oknum pegawai ato oknum vendor yang sering mengapus produk jual masyarakat semena mena bener,kecewa sama oknum yang sering hapus toko dan produk jual saya di dodol saya curiga ada orang dalam yang sekongkol saing tidak_sehat mohon di tindak oknum pegawai ato oknum vendor yang sering mengapus produk jual masyarakat semena mena bener,kecewa sama oknum hapus toko produk jual dodol curiga orang sekongkol saing tidak_sehat tindak oknum pegawai ato oknum vendor mengapus produk jual semena mena bener
"Mau ngurus ktp hilang, tapi registrasinya suruh foto ktp dan swafoto sambil megang ktp, tolong bikin aplikasi yang logis lah","mau ngurus ktp hilang, tapi registrasinya suruh foto ktp dan swafoto sambil megang ktp, tolong bikin aplikasi yang logis lah","mau ngurus ktp hilang, tapi registrasinya suruh foto ktp dan swafoto sambil megang ktp, tolong bikin aplikasi yang logis lah","mau ngurus kartu tanda penduduk hilang, tapi registrasinya suruh foto kartu tanda penduduk dan swafoto sambil megang ktp, tolong bikin aplikasi yang logis lah",mau ngurus kartu tanda duduk hilang tapi registrasi suruh foto kartu tanda duduk dan swafoto sambil megang ktp tolong bikin aplikasi yang logis lah,mau ngurus kartu tanda duduk hilang tapi registrasi suruh foto kartu tanda duduk dan swafoto sambil megang ktp tolong bikin aplikasi yang logis lah,mau ngurus kartu tanda duduk hilang registrasi suruh foto kartu tanda duduk swafoto sambil megang ktp bikin logis
Verifikasinya lamaaaaaaaaaaaa,verifikasinya lamaa,verifikasinya lamaa,verifikasinya lamaa,verifikasi lamaa,verifikasi lamaa,lamaa
Untuk apa diberi pilihan bayar tetapi tidak ada pilihannya??? Memakai jss supaya cepat malah bikin buang buang waktu,untuk apa diberi pilihan bayar tetapi tidak ada pilihannya?? memakai jss supaya cepat malah bikin buang buang waktu,untuk apa diberi pilihan bayar tetapi tidak ada pilihannya?? memakai jss supaya cepat malah bikin buang buang waktu,untuk apa diberi pilihan bayar tetapi tidak ada pilihannya?? memakai jss supaya cepat justru bikin buang buang waktu,untuk apa beri pilih bayar tetapi tidak ada pilih pakai jss supaya cepat justru bikin buang buang waktu,untuk apa beri pilih bayar tetapi tidak_ada pilih pakai jss supaya cepat justru bikin buang buang waktu,beri bayar tidak_ada cepat justru bikin buang buang
Aplikasi rusak,aplikasi rusak,aplikasi rusak,aplikasi rusak,aplikasi rusak,aplikasi rusak,rusak
Bad application is difficult to login,bad application is difficult to login,bad application is difficult to login,bad application is difficult to login,bad application is difficult to login,bad application is difficult to login,bad application is difficult to
wifinya sering error pakkkk,wifinya sering error pakk,wifinya sering error pakk,wifinya sering error pakk,wifinya sering error pakk,wifinya sering error pakk,wifinya error pakk
"Aplikasi cacat,,,log out trus....cape","aplikasi cacat,,log out trus..cape","aplikasi cacat,,log out trus..cape","aplikasi cacat,,log out trus..cape",aplikasi cacat log out trus cape,aplikasi cacat log out trus cape,cacat log out trus cape
Payah susah buat login,payah susah buat login,payah susah buat login,buruk sulit buat login,buruk sulit buat login,buruk sulit buat login,buruk sulit
"Baru sampai pada proses pendaftaran saja sudah rumit dan ribet harus menggunakan swafoto dan swavideo dengan KTP. Niatnya mau mempermudah malah rumit, proses verifikasi dari kominfo memakan waktu 2 hari.","baru sampai pada proses pendaftaran saja sudah rumit dan ribet harus menggunakan swafoto dan swavideo dengan ktp. niatnya mau mempermudah malah rumit, proses verifikasi dari kominfo memakan waktu 2 hari.","baru sampai pada proses pendaftaran saja sudah rumit dan ribet harus menggunakan swafoto dan swavideo dengan ktp. niatnya mau mempermudah malah rumit, proses verifikasi dari kominfo memakan waktu 2 hari.","baru sampai pada proses pendaftaran saja sudah rumit dan sulit harus menggunakan swafoto dan swavideo dengan ktp. niatnya mau mempermudah justru rumit, proses verifikasi dari kominfo memakan waktu 2 hari.",baru sampai pada proses daftar saja sudah rumit dan sulit harus guna swafoto dan swavideo dengan ktp niat mau mudah justru rumit proses verifikasi dari kominfo makan waktu 2 hari,baru sampai pada proses daftar saja sudah rumit dan sulit harus guna swafoto dan swavideo dengan ktp niat mau mudah justru rumit proses verifikasi dari kominfo makan waktu hari,baru sampai proses rumit sulit guna swafoto swavideo ktp niat mau mudah justru rumit proses kominfo makan hari
error terus,error terus,error terus,error terus,error terus,error terus,error terus
Sudah 8x percobaan mengisi dan meng-upload berkas....sinyal selalu gagal tersambung...!!!!!! Aplikasi cacat..!!!! Pdhal sinyal aman2 saja buat yang Lain.,sudah 8x percobaan mengisi dan meng-upload berkas..sinyal selalu gagal tersambung..!! aplikasi cacat..!! pdhal sinyal aman2 saja buat yang lain.,sudah 8x percobaan mengisi dan meng-upload berkas..sinyal selalu gagal tersambung..!! aplikasi cacat..!! pdhal sinyal aman2 saja buat yang lain.,sudah 8x percobaan mengisi dan meng-upload berkas..sinyal selalu gagal tersambung..!! aplikasi cacat..!! pdhal sinyal aman2 saja buat yang lain.,sudah 8x coba isi dan meng-upload berkas sinyal selalu gagal sambung aplikasi cacat pdhal sinyal aman2 saja buat yang lain,sudah x coba isi dan meng upload berkas sinyal selalu gagal sambung aplikasi cacat pdhal sinyal aman saja buat yang lain,x coba meng berkas sinyal gagal sambung cacat pdhal sinyal aman lain
"KTP KU HILANG BAPAK/IBU, MAU LOGIN SWAVIDEO GIMANA KTP ASLINYA AJA HILANG COBA. GANTILAH PAKE KK KAN BISA, BAPAK/IBU. MAKANYA KENAPA SAYA LOGIN KE JSS KARNA INGIN MENGAJUKAN PENGGANTIAN KTP. YAA ALLAH T_T","ktp ku hilang bapak/ibu, mau login swavideo gimana ktp aslinya aja hilang coba. gantilah pake kk kan bisa, bapak/ibu. makanya kenapa saya login ke jss karna ingin mengajukan penggantian ktp. yaa allah t_t","ktp ku hilang bapak/ibu, mau login swavideo gimana ktp aslinya aja hilang coba. gantilah pake kk kan bisa, bapak/ibu. makanya kenapa saya login ke jss karna ingin mengajukan penggantian ktp. yaa allah t t","kartu tanda penduduk ku hilang bapak/ibu, mau login swavideo bagaimana kartu tanda penduduk aslinya aja hilang coba. gantilah pake kartu keluarga kan bisa, bapak/ibu. makanya kenapa saya login ke jss karna ingin mengajukan penggantian ktp. yaa allah t t",kartu tanda duduk ku hilang bapak ibu mau login swavideo bagaimana kartu tanda duduk asli aja hilang coba ganti pake kartu keluarga kan bisa bapak ibu makanya kenapa saya login ke jss karna ingin aju ganti ktp yaa allah t t,kartu tanda duduk ku hilang bapak ibu mau login swavideo bagaimana kartu tanda duduk asli aja hilang coba ganti pake kartu keluarga kan bisa bapak ibu makanya kenapa saya login ke jss karna ingin aju ganti ktp yaa allah t t,kartu tanda duduk hilang bapak ibu mau swavideo kartu tanda duduk asli hilang coba ganti pake kartu keluarga kan bisa bapak ibu makanya karna ingin aju ganti ktp yaa allah t t
Aplikasi gak jelas masa saat verifikasi gagal terus,aplikasi gak jelas masa saat verifikasi gagal terus,aplikasi gak jelas masa saat verifikasi gagal terus,aplikasi tidak jelas masa saat verifikasi gagal terus,aplikasi tidak jelas masa saat verifikasi gagal terus,aplikasi tidak_jelas masa saat verifikasi gagal terus,tidak_jelas masa gagal terus
Tiap masuk wifi pemkot mental terus,tiap masuk wifi pemkot mental terus,tiap masuk wifi pemkot mental terus,tiap masuk wifi pemerintah kota mental terus,tiap masuk wifi perintah kota mental terus,tiap masuk wifi perintah kota mental terus,tiap wifi perintah kota mental terus
Gk bisa login wifi woi,gk bisa login wifi woi,gk bisa login wifi woi,tidak bisa login wifi woi,tidak bisa login wifi woi,tidak_bisa login wifi woi,tidak_bisa wifi woi
Ribet mau login....susah.. .,ribet mau login..susah.. .,ribet mau login..susah.. .,sulit mau login..susah.. .,sulit mau login susah,sulit mau login susah,sulit mau susah
Sulit,sulit,sulit,sulit,sulit,sulit,sulit
Mau login aja ribett banget dan lamaa,mau login aja ribett banget dan lamaa,mau login aja ribett banget dan lamaa,mau login aja ribett banget dan lamaa,mau login aja ribett banget dan lamaa,mau login aja ribett banget dan lamaa,mau ribett lamaa
sewaktu saya buka. aplikasi selalu menampilkan bug,sewaktu saya buka. aplikasi selalu menampilkan bug,sewaktu saya buka. aplikasi selalu menampilkan bug,sewaktu saya buka. aplikasi selalu menampilkan bug,waktu saya buka aplikasi selalu tampil bug,waktu saya buka aplikasi selalu tampil bug,tampil bug
Mau riset password susah daftarin email yg Bru GK ada bisa,mau riset password susah daftarin email yg bru gk ada bisa,mau riset password susah daftarin email yg bru gk ada bisa,mau riset password sulit daftarin email yg bru tidak ada bisa,mau riset password sulit daftarin email yg bru tidak ada bisa,mau riset password sulit daftarin email yg bru tidak_ada bisa,mau riset sulit daftarin yg bru tidak_ada bisa
Udah lama-lama buat akun cek pbb sleman malah ga bisa. Kirain punya provinsi ternyata cuma sebatas Kota Yogyakarta doang. Mending langsung cek e-commerce,udah lama-lama buat akun cek pbb sleman malah ga bisa. kirain punya provinsi ternyata cuma sebatas kota yogyakarta doang. mending langsung cek e-commerce,udah lama-lama buat akun cek pbb sleman malah ga bisa. kirain punya provinsi ternyata cuma sebatas kota yogyakarta doang. mending langsung cek e-commerce,udah lama-lama buat akun cek pbb sleman justru tidak bisa. kirain punya provinsi ternyata cuma sebatas kota yogyakarta doang. mending langsung cek e-commerce,udah lama buat akun cek pbb sleman justru tidak bisa kirain punya provinsi nyata cuma batas kota yogyakarta doang mending langsung cek e-commerce,udah lama buat akun cek pbb sleman justru tidak_bisa kirain punya provinsi nyata cuma batas kota yogyakarta doang mending langsung cek e commerce,udah lama cek pbb sleman justru tidak_bisa kirain punya provinsi nyata cuma batas kota doang mending langsung cek e commerce
Gak guna mi,gak guna mi,gak guna mi,tidak guna mi,tidak guna mi,tidak_guna mi,tidak_guna mi
Astaghfirulloh.. Mau log in susahnya ampun deh,astaghfirulloh.. mau log in susahnya ampun deh,astaghfirulloh.. mau log in susahnya ampun deh,astaghfirulloh.. mau log in susahnya ampun deh,astaghfirulloh mau log in susah ampun deh,astaghfirulloh mau log in susah ampun deh,astaghfirulloh mau log in susah ampun
ga fungsi...uda daftar gangguan terus,ga fungsi..uda daftar gangguan terus,ga fungsi..uda daftar gangguan terus,tidak fungsi..uda daftar gangguan terus,tidak fungsi uda daftar ganggu terus,tidak_fungsi uda daftar ganggu terus,tidak_fungsi uda ganggu terus
Mau lihat data warga tidak bisa dan aplikasi lemot pol mohon diperbaiki lagi,mau lihat data warga tidak bisa dan aplikasi lemot pol mohon diperbaiki lagi,mau lihat data warga tidak bisa dan aplikasi lemot pol mohon diperbaiki lagi,mau lihat data warga tidak bisa dan aplikasi lambat pol mohon perbaiki lagi,mau lihat data warga tidak bisa dan aplikasi lambat pol mohon baik lagi,mau lihat data warga tidak_bisa dan aplikasi lambat pol mohon baik lagi,mau warga tidak_bisa lambat pol baik lagi
Sering gagal nyambung ke wifi,sering gagal nyambung ke wifi,sering gagal nyambung ke wifi,sering gagal nyambung ke wifi,sering gagal nyambung ke wifi,sering gagal nyambung ke wifi,gagal nyambung wifi
"Pelayanan online masih berantakan banget, ngurus KK baru ribetnya minta ampun, admin wa nya juga slow respon banget, cari pegawai yang kompeten lahh","pelayanan online masih berantakan banget, ngurus kk baru ribetnya minta ampun, admin wa nya juga slow respon banget, cari pegawai yang kompeten lahh","pelayanan online masih berantakan banget, ngurus kk baru ribetnya minta ampun, admin wa nya juga slow respon banget, cari pegawai yang kompeten lahh","pelayanan online masih berantakan banget, ngurus kartu keluarga baru ribetnya minta ampun, admin wa nya juga slow respon banget, cari pegawai yang kompeten lahh",layan online masih beranta banget ngurus kartu keluarga baru ribetnya minta ampun admin wa nya juga slow respon banget cari pegawai yang kompeten lahh,layan online masih beranta banget ngurus kartu keluarga baru ribetnya minta ampun admin wa nya juga slow respon banget cari pegawai yang kompeten lahh,layan online beranta ngurus kartu keluarga baru ribetnya minta ampun wa slow respon cari pegawai kompeten lahh
"Maaf sementara ini aplikasi ini saya uninstal karena ke logout sendiri.dan klo mau masuk disuruh masukin nama,email,no.ktp n password itu yang bikin males.padahal setau saya aplikasi jas saya sudah kebuka kok bisa ke logout sendiri.jadi males gunakan apk ini apalagi klo pas menggunakan WiFi dari Pemkot susah masuknya trus untuk cctv terbatas di kota saja ga semua seluruh Jogjakarta meliputi cctv Sleman,Bantul,kulon Progo n Wonosari.","maaf sementara ini aplikasi ini saya uninstal karena ke logout sendiri.dan klo mau masuk disuruh masukin nama,email,no.ktp n password itu yang bikin males.padahal setau saya aplikasi jas saya sudah kebuka kok bisa ke logout sendiri.jadi males gunakan apk ini apalagi klo pas menggunakan wifi dari pemkot susah masuknya trus untuk cctv terbatas di kota saja ga semua seluruh jogjakarta meliputi cctv sleman,bantul,kulon progo n wonosari.","maaf sementara ini aplikasi ini saya uninstal karena ke logout sendiri.dan klo mau masuk disuruh masukin nama,email,no.ktp n password itu yang bikin males.padahal setau saya aplikasi jas saya sudah kebuka kok bisa ke logout sendiri.jadi males gunakan apk ini apalagi klo pas menggunakan wifi dari pemkot susah masuknya trus untuk cctv terbatas di kota saja ga semua seluruh jogjakarta meliputi cctv sleman,bantul,kulon progo n wonosari.","maaf sementara ini aplikasi ini saya copot pemasangan karena ke logout sendiri.dan kalau mau masuk disuruh masukin nama,email,no.ktp n password itu yang bikin males.padahal setau saya aplikasi jas saya sudah kebuka kok bisa ke logout sendiri.jadi males gunakan apk ini apalagi kalau pas menggunakan wifi dari pemerintah kota sulit masuknya terus untuk cctv terbatas di kota saja tidak semua seluruh jogjakarta meliputi cctv sleman,bantul,kulon progo n wonosari.",maaf sementara ini aplikasi ini saya copot pasang karena ke logout sendiri dan kalau mau masuk suruh masukin nama email no ktp n password itu yang bikin males padahal tau saya aplikasi jas saya sudah buka kok bisa ke logout sendiri jadi males guna apk ini apalagi kalau pas guna wifi dari perintah kota sulit masuk terus untuk cctv batas di kota saja tidak semua seluruh jogjakarta liput cctv sleman bantul kulon progo n wonosari,maaf sementara ini aplikasi ini saya copot pasang karena ke logout sendiri dan kalau mau masuk suruh masukin nama email no ktp n password itu yang bikin males padahal tau saya aplikasi jas saya sudah buka kok bisa ke logout sendiri jadi males guna apk ini apalagi kalau pas guna wifi dari perintah kota sulit masuk terus untuk cctv batas di kota saja tidak_semua seluruh jogjakarta liput cctv sleman bantul kulon progo n wonosari,maaf sementara copot pasang logout sendiri mau suruh masukin nama no ktp n bikin males padahal tau jas bisa logout sendiri jadi males guna apk apalagi guna wifi perintah kota sulit terus batas kota tidak_semua seluruh jogjakarta liput sleman bantul kulon progo n wonosari
"notif ganggu banget, suaranyaa nyebelin TENG TENG TENG TENG TENG apa lagi kalo pas lgi kumpul2 kerja miting malah jadi malu ditambah notifnya gabisa ilang di atas","notif ganggu banget, suaranyaa nyebelin teng teng teng teng teng apa lagi kalo pas lgi kumpul2 kerja miting malah jadi malu ditambah notifnya gabisa ilang di atas","notif ganggu banget, suaranyaa nyebelin teng teng teng teng teng apa lagi kalo pas lgi kumpul2 kerja miting malah jadi malu ditambah notifnya gabisa ilang di atas","notif ganggu banget, suaranyaa nyebelin teng teng teng teng teng apa lagi kalau pas lgi kumpul2 kerja miting justru jadi malu ditambah notifnya tidak bisa ilang di atas",notif ganggu banget suaranyaa nyebelin teng teng teng teng teng apa lagi kalau pas lgi kumpul2 kerja miting justru jadi malu tambah notifnya tidak bisa ilang di atas,notif ganggu banget suaranyaa nyebelin teng teng teng teng teng apa lagi kalau pas lgi kumpul kerja miting justru jadi malu tambah notifnya tidak_bisa ilang di atas,ganggu suaranyaa nyebelin teng teng teng teng teng lagi lgi kumpul kerja miting justru jadi malu tambah notifnya tidak_bisa ilang atas
Yg di dalam teras 2 ga bisa di lihat dari aplikasi ini. Jadi kurang bagus....,yg di dalam teras 2 ga bisa di lihat dari aplikasi ini. jadi kurang bagus..,yg di dalam teras 2 ga bisa di lihat dari aplikasi ini. jadi kurang bagus..,yg di dalam teras 2 tidak bisa di lihat dari aplikasi ini. jadi kurang bagus..,yg di dalam teras 2 tidak bisa di lihat dari aplikasi ini jadi kurang bagus,yg di dalam teras tidak_bisa di lihat dari aplikasi ini jadi kurang_bagus,yg teras tidak_bisa jadi kurang_bagus
Gagal buat akun padahal ktp e yg buat pemerintah....lucu apk nya,gagal buat akun padahal ktp e yg buat pemerintah..lucu apk nya,gagal buat akun padahal ktp e yg buat pemerintah..lucu apk nya,gagal buat akun padahal kartu tanda penduduk e yg buat pemerintah..lucu apk nya,gagal buat akun padahal kartu tanda duduk e yg buat perintah lucu apk nya,gagal buat akun padahal kartu tanda duduk e yg buat perintah lucu apk nya,gagal padahal kartu tanda duduk e yg perintah lucu apk
Mohon disempurnakan fitur absensi otomatis yang terbaru tidak berjalan dihp kami yg ada di sekolah kemarin dpt info dr salah satu pegawai dinas pendidikan bisa tetapi setelah kami coba tdk bisa berjalan triamakasih,mohon disempurnakan fitur absensi otomatis yang terbaru tidak berjalan dihp kami yg ada di sekolah kemarin dpt info dr salah satu pegawai dinas pendidikan bisa tetapi setelah kami coba tdk bisa berjalan triamakasih,mohon disempurnakan fitur absensi otomatis yang terbaru tidak berjalan dihp kami yg ada di sekolah kemarin dpt info dr salah satu pegawai dinas pendidikan bisa tetapi setelah kami coba tdk bisa berjalan triamakasih,mohon disempurnakan fitur absensi otomatis yang terbaru tidak berjalan dihp kami yg ada di sekolah kemarin dpt info dari salah satu pegawai dinas pendidikan bisa tetapi setelah kami coba tidak bisa berjalan triamakasih,mohon sempurna fitur absensi otomatis yang baru tidak jalan dihp kami yg ada di sekolah kemarin dpt info dari salah satu pegawai dinas didik bisa tetapi telah kami coba tidak bisa jalan triamakasih,mohon sempurna fitur absensi otomatis yang baru tidak_jalan dihp kami yg ada di sekolah kemarin dpt info dari salah satu pegawai dinas didik bisa tetapi telah kami coba tidak_bisa jalan triamakasih,sempurna absensi otomatis baru tidak_jalan dihp yg sekolah kemarin dpt salah satu pegawai dinas didik bisa coba tidak_bisa jalan triamakasih
"kok ilang dewe. rajelas tenan. Parah ,raono balesan,sering err. Raiso otomatis. Ribet. Bajingan ra jelas","kok ilang dewe. rajelas tenan. parah ,raono balesan,sering err. raiso otomatis. ribet. bajingan ra jelas","kok ilang dewe. rajelas tenan. parah ,raono balesan,sering err. raiso otomatis. ribet. bajingan ra jelas","kok ilang dewe. rajelas tenan. sangat buruk ,raono balesan,sering err. raiso otomatis. ribet. bajingan tidak jelas",kok ilang dewe rajelas tenan sangat buruk raono balesan sering err raiso otomatis ribet bajing tidak jelas,kok ilang dewe rajelas tenan sangat buruk raono balesan sering err raiso otomatis ribet bajing tidak_jelas,ilang dewe rajelas tenan sangat buruk raono balesan err raiso otomatis ribet bajing tidak_jelas
Setelah diupdate mlh susah..bgus an kmrin,setelah diupdate mlh susah..bgus an kmrin,setelah diupdate mlh susah..bgus an kmrin,setelah diupdate mlh susah..bgus an kmrin,telah diupdate mlh susah bgus an kmrin,telah diupdate mlh susah bgus an kmrin,diupdate mlh susah bgus an kmrin
Aplikasi msh bnyk bug. Percuma di sosialisasikan di tiap rt. Yg katanya apk jss bisa mempermudah untuk memperoleh layanan. Tp nyatanya sy udah bikin akun dan mau daftar antrian puskesmas malah di suruh login kembali setelah masuk ehh tidak ada kolom yg buat antrian puskesmas. Maunya mo kontrol tensi malah di bikin naik tensi karena apk jss yg membingungkan!,aplikasi msh bnyk bug. percuma di sosialisasikan di tiap rt. yg katanya apk jss bisa mempermudah untuk memperoleh layanan. tp nyatanya sy udah bikin akun dan mau daftar antrian puskesmas malah di suruh login kembali setelah masuk ehh tidak ada kolom yg buat antrian puskesmas. maunya mo kontrol tensi malah di bikin naik tensi karena apk jss yg membingungkan!,aplikasi msh bnyk bug. percuma di sosialisasikan di tiap rt. yg katanya apk jss bisa mempermudah untuk memperoleh layanan. tp nyatanya sy udah bikin akun dan mau daftar antrian puskesmas malah di suruh login kembali setelah masuk ehh tidak ada kolom yg buat antrian puskesmas. maunya mo kontrol tensi malah di bikin naik tensi karena apk jss yg membingungkan!,aplikasi masih banyak bug. percuma di sosialisasikan di tiap rt. yg katanya apk jss bisa mempermudah untuk memperoleh layanan. tapi nyatanya saya udah bikin akun dan mau daftar antrian puskesmas justru di suruh login kembali setelah masuk ehh tidak ada kolom yg buat antrian puskesmas. maunya mo kontrol tensi justru di bikin naik tensi karena apk jss yg membingungkan!,aplikasi masih banyak bug percuma di sosialisasi di tiap rt yg kata apk jss bisa mudah untuk oleh layan tapi nyata saya udah bikin akun dan mau daftar antri puskesmas justru di suruh login kembali telah masuk ehh tidak ada kolom yg buat antri puskesmas mau mo kontrol tensi justru di bikin naik tensi karena apk jss yg bingung,aplikasi masih banyak bug percuma di sosialisasi di tiap rt yg kata apk jss bisa mudah untuk oleh layan tapi nyata saya udah bikin akun dan mau daftar antri puskesmas justru di suruh login kembali telah masuk ehh tidak_ada kolom yg buat antri puskesmas mau mo kontrol tensi justru di bikin naik tensi karena apk jss yg bingung,banyak bug percuma sosialisasi tiap rt yg kata apk bisa mudah layan nyata udah bikin mau antri puskesmas justru suruh kembali ehh tidak_ada kolom yg antri puskesmas mau mo kontrol tensi justru bikin naik tensi apk yg bingung
setidaknya jngn prank lah...,setidaknya jngn prank lah..,setidaknya jngn prank lah..,setidaknya jngn prank lah..,tidak jngn prank lah,tidak_jngn prank lah,tidak_jngn prank
Buat daftar pas pegang ktp sama selfie.loding smpe seharian gabisa di prosesssss,buat daftar pas pegang ktp sama selfie.loding smpe seharian gabisa di prosess,buat daftar pas pegang ktp sama selfie.loding smpe seharian gabisa di prosess,buat daftar pas pegang kartu tanda penduduk sama selfie.loding smpe seharian tidak bisa di prosess,buat daftar pas pegang kartu tanda duduk sama selfie loding smpe hari tidak bisa di prosess,buat daftar pas pegang kartu tanda duduk sama selfie loding smpe hari tidak_bisa di prosess,pegang kartu tanda duduk sama selfie loding smpe hari tidak_bisa prosess
